isin,wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown
IE00B5BMR087,A0YEDG,SXR8,10737041,iShares Core S&P 500 UCITS ETF USD (Acc),2010-05-19,5389,14.764383561643836,Long-only,Ireland,USD,False,True,Accumulating,0.07,Full replication,108482,False,503,3.41,-0.49,0.49,5.69,16.35,27.15,57.62,99.27,32.62,21.54,-13.3,39.07,,,14.34,17.91,21.81,1.89,0.91,0.68,-33.71,-9.09,-15.92,-33.71
IE00B4L5Y983,A0RPWH,EUNL,10608388,iShares Core MSCI World UCITS ETF USD (Acc),2009-09-25,5625,15.41095890410959,Long-only,Ireland,USD,False,True,Accumulating,0.2,Optimized sampling,94617,False,1396,4.66,-0.04,1.77,6.67,15.06,24.05,48.0,79.7,26.24,19.55,-12.96,32.1,,,12.49,15.15,18.43,1.92,0.92,0.67,-33.91,-8.75,-15.01,-33.91
IE00B3XXRP09,A1JX53,VUSA,18575508,Vanguard S&P 500 UCITS ETF (USD) Distributing,2012-05-22,4655,12.753424657534246,Long-only,Ireland,USD,False,True,Distributing,0.07,Full replication,45024,False,503,3.39,-0.5,0.48,5.68,16.33,27.13,57.6,99.8,32.62,21.54,-13.29,39.08,0.96,1.21,14.56,18.12,21.89,1.86,0.9,0.68,-33.7,-9.09,-16.1,-33.7
IE00B3YCGJ38,A1CYW7,P500,11358996,Invesco S&P 500 UCITS ETF,2010-05-20,5388,14.761643835616438,Long-only,Ireland,USD,False,False,Accumulating,0.05,Swap based Unfunded,29596,False,,3.36,-0.55,0.44,5.67,16.37,27.28,58.47,101.79,32.86,21.8,-13.1,39.37,,,14.36,17.96,21.85,1.89,0.92,0.69,-33.69,-9.09,-16.06,-33.69
IE00BKM4GZ66,A111X9,IS3N,24209517,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),2014-05-30,3917,10.73150684931507,Long-only,Ireland,USD,False,True,Accumulating,0.18,Full replication,21900,False,3160,3.53,0.41,3.4,4.99,8.3,15.73,8.26,23.23,14.04,7.69,-14.16,7.29,,,13.03,14.1,16.43,1.2,0.19,0.26,-34.34,-10.36,-19.39,-31.84
IE00BFMXXD54,A2PFN2,VUAA,46931424,Vanguard S&P 500 UCITS ETF (USD) Accumulating,2019-05-14,2107,5.772602739726027,Long-only,Ireland,USD,False,True,Accumulating,0.07,Full replication,19696,False,503,3.32,-0.58,0.4,5.59,16.24,27.02,57.47,99.64,32.61,21.55,-13.3,39.09,,,14.4,18.01,21.85,1.87,0.91,0.68,-33.7,-9.1,-16.11,-33.7
IE00B4ND3602,A1KWPQ,PPFB,12881542,iShares Physical Gold ETC,2011-04-08,5065,13.876712328767123,Long-only,Ireland,USD,False,False,Accumulating,0.12,Physically backed,18571,False,,10.01,-1.76,4.86,13.76,22.22,48.84,65.42,88.06,34.47,9.73,5.62,3.95,,,14.87,14.56,15.29,3.27,1.25,0.88,-37.2,-5.95,-11.78,-18.21
IE0031442068,622391,IUSA,1396252,iShares Core S&P 500 UCITS ETF USD (Dist),2002-03-15,8376,22.947945205479453,Long-only,Ireland,USD,False,True,Distributing,0.07,Full replication,18435,False,503,3.41,-0.5,0.48,5.68,16.34,27.15,57.64,99.44,32.6,21.57,-13.29,39.06,0.96,1.21,14.33,17.9,21.79,1.89,0.91,0.68,-55.67,-9.07,-15.89,-33.71
IE00B579F325,A1AA5X,8PSG,10326235,Invesco Physical Gold A,2009-06-25,5717,15.663013698630136,Long-only,Ireland,USD,False,False,Accumulating,0.12,Physically backed,18355,False,,9.94,-1.82,4.79,13.67,22.14,48.75,65.34,88.13,34.49,9.71,5.61,3.95,,,19.4,16.25,16.39,2.5,1.12,0.82,-37.45,-7.33,-11.76,-18.22
IE00BK5BQT80,A2PKXG,VWCE,48616202,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,2019-07-23,2037,5.580821917808219,Long-only,Ireland,USD,False,True,Accumulating,0.22,Optimized sampling,17531,False,3618,4.64,0.06,2.06,6.58,14.33,23.06,42.33,70.97,24.65,17.78,-13.01,28.2,,,11.92,14.03,17.18,1.93,0.89,0.66,-33.48,-8.71,-14.05,-33.48
