Nome,Percentuale
Obbligazioni governative,15.292755183
Tecnologia,13.678866604
Monetario EUR,13.58
Oro,10.41
Servizi finanziari,9.467470173999997
Industriali,5.9295957790000005
Salute,5.910110481999999
Consumo ciclico,5.438188115999999
Servizi di comunicazione,4.803546869999999
Difensivo,3.3238818560000003
Bitcoin,3.32
Energia,1.9093395199999996
Materiali di base,1.8865626220000005
Servizi pubblici,1.4951932529999998
Immobiliare,1.223648955
Obbligazioni aziendali,1.1926321719999997
Monetario,1.0597519020000001
Titoli cartolarizzati,0.412540644
Obbligazioni municipali,0.006047388
