Fund Holdings as of,"22/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","503,208,182.20","12.47","503,208,182.20","13,568,000.00","37.09","Taiwan","Taiwan Stock Exchange","TWD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","272,103,969.90","6.74","272,103,969.90","3,543,610.00","76.79","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CNYA","ISH MSCI CHINA A ETF USD ACC","Financials","Equity","203,159,508.34","5.04","203,159,508.34","37,885,223.00","5.36","Ireland","London Stock Exchange","USD"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","142,919,749.16","3.54","142,919,749.16","9,463,952.00","15.10","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","133,582,284.05","3.31","133,582,284.05","2,606,384.00","51.25","Korea (South)","Korea Exchange (Stock Market)","KRW"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","69,975,952.88","1.73","69,975,952.88","3,117,636.00","22.45","India","National Stock Exchange Of India","INR"
"1810","XIAOMI CORP","Information Technology","Equity","63,435,539.69","1.57","63,435,539.69","9,432,400.00","6.73","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"000660","SK HYNIX INC","Information Technology","Equity","54,190,887.70","1.34","54,190,887.70","300,774.00","180.17","Korea (South)","Korea Exchange (Stock Market)","KRW"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","52,421,014.68","1.30","52,421,014.68","52,852,558.00","0.99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","48,495,642.75","1.20","48,495,642.75","381,525.00","127.11","China","NASDAQ","USD"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","46,780,489.27","1.16","46,780,489.27","2,850,625.00","16.41","India","National Stock Exchange Of India","INR"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","45,407,086.56","1.13","45,407,086.56","6,862,188.00","6.62","Taiwan","Taiwan Stock Exchange","TWD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","44,066,279.49","1.09","44,066,279.49","2,737,061.00","16.10","India","National Stock Exchange Of India","INR"
"3690","MEITUAN","Consumer Discretionary","Equity","41,506,535.41","1.03","41,506,535.41","2,739,221.00","15.15","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2454","MEDIATEK INC","Information Technology","Equity","37,348,805.02","0.93","37,348,805.02","837,352.00","44.60","Taiwan","Taiwan Stock Exchange","TWD"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","31,282,976.81","0.78","31,282,976.81","1,416,314.00","22.09","India","National Stock Exchange Of India","INR"
"INFY","INFOSYS LTD","Information Technology","Equity","31,119,613.98","0.77","31,119,613.98","1,831,167.00","16.99","India","National Stock Exchange Of India","INR"
"1211","BYD LTD H","Consumer Discretionary","Equity","29,504,607.23","0.73","29,504,607.23","2,017,000.00","14.63","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","27,680,116.54","0.69","27,680,116.54","3,722,666.00","7.44","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","27,589,073.25","0.68","27,589,073.25","36,170,386.00","0.76","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9999","NETEASE INC","Communication","Equity","25,375,044.92","0.63","25,375,044.92","966,255.00","26.26","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash and/or Derivatives","Money Market","24,170,403.38","0.60","24,170,403.38","24,170,403.00","1.00","Ireland","-","USD"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","23,111,791.13","0.57","23,111,791.13","1,065,196.00","21.70","Taiwan","Taiwan Stock Exchange","TWD"
"3988","BANK OF CHINA LTD H","Financials","Equity","22,408,126.96","0.56","22,408,126.96","39,524,294.00","0.57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9961","TRIP.COM GROUP LTD","Consumer Discretionary","Equity","22,122,655.43","0.55","22,122,655.43","342,301.00","64.63","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9618","JD.COM CLASS A INC","Consumer Discretionary","Equity","21,002,069.49","0.52","21,002,069.49","1,351,779.00","15.54","China","Hong Kong Exchanges And Clearing Ltd","HKD"
