Fund Holdings as of,"21/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","1,116,896,290.12","4.92","1,116,896,290.12","6,382,994.00","174.98","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","931,970,656.32","4.10","931,970,656.32","1,848,268.00","504.24","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","884,353,804.10","3.89","884,353,804.10","3,932,209.00","224.90","United States","NASDAQ","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","554,656,823.15","2.44","554,656,823.15","2,499,017.00","221.95","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","423,487,300.70","1.86","423,487,300.70","572,977.00","739.10","United States","NASDAQ","USD"
"NDIA","ISHARES MSCI INDIA UCITS ETF","Financials","Equity","394,039,667.91","1.73","394,039,667.91","40,748,673.00","9.67","Ireland","London Stock Exchange","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","339,623,187.20","1.49","339,623,187.20","1,172,732.00","289.60","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","301,224,398.25","1.33","301,224,398.25","1,508,007.00","199.75","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","259,982,454.90","1.14","259,982,454.90","1,295,895.00","200.62","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","243,365,868.27","1.07","243,365,868.27","760,257.00","320.11","United States","NASDAQ","USD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","240,670,938.56","1.06","240,670,938.56","6,385,000.00","37.69","Taiwan","Taiwan Stock Exchange","TWD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","213,642,263.54","0.94","213,642,263.54","732,982.00","291.47","United States","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","172,456,635.12","0.76","172,456,635.12","352,968.00","488.59","United States","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","Financials","Equity","154,519,243.41","0.68","154,519,243.41","449,589.00","343.69","United States","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Health Care","Equity","149,803,961.90","0.66","149,803,961.90","211,045.00","709.82","United States","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Communication","Equity","134,486,383.95","0.59","134,486,383.95","111,495.00","1,206.21","United States","NASDAQ","USD"
"MA","MASTERCARD INC CLASS A","Financials","Equity","126,610,504.16","0.56","126,610,504.16","213,898.00","591.92","United States","New York Stock Exchange Inc.","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","124,832,119.68","0.55","124,832,119.68","1,644,900.00","75.89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"XOM","EXXON MOBIL CORP","Energy","Equity","123,902,865.90","0.55","123,902,865.90","1,134,330.00","109.23","United States","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","112,585,976.74","0.50","112,585,976.74","629,218.00","178.93","United States","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Consumer Staples","Equity","112,554,374.68","0.50","112,554,374.68","1,148,983.00","97.96","United States","New York Stock Exchange Inc.","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","111,894,284.24","0.49","111,894,284.24","115,393.00","969.68","United States","NASDAQ","USD"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Financials","Equity","105,389,606.59","0.46","105,389,606.59","2,829,631.00","37.24","Germany","Xetra","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","103,886,398.60","0.46","103,886,398.60","261,218.00","397.70","United States","New York Stock Exchange Inc.","USD"
"ORCL","ORACLE CORP","Information Technology","Equity","102,516,721.44","0.45","102,516,721.44","439,684.00","233.16","United States","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","96,951,331.62","0.43","96,951,331.62","610,794.00","158.73","United States","New York Stock Exchange Inc.","USD"
"ABBV","ABBVIE INC","Health Care","Equity","96,738,301.00","0.43","96,738,301.00","461,758.00","209.50","United States","New York Stock Exchange Inc.","USD"
"CNYA","ISH MSCI CHINA A ETF USD ACC","Financials","Equity","94,060,519.59","0.41","94,060,519.59","18,036,533.00","5.21","Ireland","London Stock Exchange","USD"
"BAC","BANK OF AMERICA CORP","Financials","Equity","88,379,985.80","0.39","88,379,985.80","1,831,330.00","48.26","United States","New York Stock Exchange Inc.","USD"
