Fund Holdings as of,"21/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","2,483,641,160.95","8.73","2,483,641,160.95","65,891,000.00","37.69","Taiwan","Taiwan Stock Exchange","TWD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,307,640,169.44","4.60","1,307,640,169.44","17,230,640.00","75.89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","681,672,553.22","2.40","681,672,553.22","46,037,348.00","14.81","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","638,108,134.01","2.24","638,108,134.01","12,639,241.00","50.49","Korea (South)","Korea Exchange (Stock Market)","KRW"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","344,866,071.79","1.21","344,866,071.79","15,113,333.00","22.82","India","National Stock Exchange Of India","INR"
"1810","XIAOMI CORP","Information Technology","Equity","301,130,137.32","1.06","301,130,137.32","45,822,800.00","6.57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","261,338,584.34","0.92","261,338,584.34","16,005,686.00","16.33","India","National Stock Exchange Of India","INR"
"000660","SK HYNIX INC","Information Technology","Equity","255,310,883.87","0.90","255,310,883.87","1,457,252.00","175.20","Korea (South)","Korea Exchange (Stock Market)","KRW"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","255,311,337.49","0.90","255,311,337.49","257,749,000.00","0.99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","231,832,284.54","0.82","231,832,284.54","13,990,405.00","16.57","India","National Stock Exchange Of India","INR"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","227,826,558.96","0.80","227,826,558.96","1,852,851.00","122.96","China","NASDAQ","USD"
