Al,"22/08/2025"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"AVGO","BROADCOM INC","IT","Azionario","142.055.802,00","4,35","142.055.802,00","483.183,00","294,00","Stati Uniti","NASDAQ","USD"
"NFLX","NETFLIX INC","Comunicazione","Azionario","115.474.135,05","3,53","115.474.135,05","95.857,00","1.204,65","Stati Uniti","NASDAQ","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Finanziari","Azionario","109.747.737,00","3,36","109.747.737,00","224.433,00","489,00","Stati Uniti","New York Stock Exchange Inc.","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","IT","Azionario","98.544.204,60","3,01","98.544.204,60","620.790,00","158,74","Stati Uniti","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Finanziari","Azionario","90.503.689,92","2,77","90.503.689,92","305.508,00","296,24","Stati Uniti","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","Finanziari","Azionario","90.014.886,24","2,75","90.014.886,24","257.156,00","350,04","Stati Uniti","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Generi di largo consumo","Azionario","82.844.552,61","2,53","82.844.552,61","855.567,00","96,83","Stati Uniti","New York Stock Exchange Inc.","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Generi di largo consumo","Azionario","68.872.952,25","2,11","68.872.952,25","401.007,00","171,75","Stati Uniti","New York Stock Exchange Inc.","USD"
"COST","COSTCO WHOLESALE CORP","Generi di largo consumo","Azionario","57.226.755,08","1,75","57.226.755,08","59.702,00","958,54","Stati Uniti","NASDAQ","USD"
"SAP","SAP","IT","Azionario","50.241.110,14","1,54","50.241.110,14","184.330,00","272,56","Germania","Xetra","EUR"
"LLY","ELI LILLY","Salute","Azionario","47.935.206,40","1,47","47.935.206,40","67.355,00","711,68","Stati Uniti","New York Stock Exchange Inc.","USD"
"GEV","GE VERNOVA INC","Industriali","Azionario","45.490.183,38","1,39","45.490.183,38","74.934,00","607,07","Stati Uniti","New York Stock Exchange Inc.","USD"
"T","AT&T INC","Comunicazione","Azionario","40.857.053,79","1,25","40.857.053,79","1.420.127,00","28,77","Stati Uniti","New York Stock Exchange Inc.","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Azionario","35.677.771,66","1,09","35.677.771,66","147.374,00","242,09","Stati Uniti","New York Stock Exchange Inc.","USD"
"ALV","ALLIANZ","Finanziari","Azionario","34.551.284,67","1,06","34.551.284,67","79.050,00","437,08","Germania","Xetra","EUR"
"6758","SONY GROUP CORP","Consumi Discrezionali","Azionario","33.442.058,49","1,02","33.442.058,49","1.163.500,00","28,74","Giappone","Tokyo Stock Exchange","JPY"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Finanziari","Azionario","33.248.455,41","1,02","33.248.455,41","296.266,00","112,23","Australia","Asx - All Markets","AUD"
"GE","GE AEROSPACE","Industriali","Azionario","31.650.704,03","0,97","31.650.704,03","118.751,00","266,53","Stati Uniti","New York Stock Exchange Inc.","USD"
"BSX","BOSTON SCIENTIFIC CORP","Salute","Azionario","28.854.351,75","0,88","28.854.351,75","271.775,00","106,17","Stati Uniti","New York Stock Exchange Inc.","USD"
"GILD","GILEAD SCIENCES INC","Salute","Azionario","26.884.757,73","0,82","26.884.757,73","234.249,00","114,77","Stati Uniti","NASDAQ","USD"
"SPOT","SPOTIFY TECHNOLOGY SA","Comunicazione","Azionario","26.423.708,70","0,81","26.423.708,70","38.130,00","692,99","Svezia","New York Stock Exchange Inc.","USD"
"7974","NINTENDO LTD","Comunicazione","Azionario","26.226.032,48","0,80","26.226.032,48","279.900,00","93,70","Giappone","Tokyo Stock Exchange","JPY"
"SAN","BANCO SANTANDER SA","Finanziari","Azionario","25.001.441,33","0,76","25.001.441,33","2.565.648,00","9,74","Spagna","Bolsa De Madrid","EUR"
"RHM","RHEINMETALL AG","Industriali","Azionario","24.638.240,43","0,75","24.638.240,43","12.959,00","1.901,24","Germania","Xetra","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Comunicazione","Azionario","24.514.751,76","0,75","24.514.751,76","665.625,00","36,83","Germania","Xetra","EUR"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industriali","Azionario","24.064.772,10","0,74","24.064.772,10","1.705.989,00","14,11","Regno unito","London Stock Exchange","GBP"
"IBE","IBERDROLA SA","Imprese di servizi di pubblica utilità","Azionario","23.876.251,78","0,73","23.876.251,78","1.226.344,00","19,47","Spagna","Bolsa De Madrid","EUR"
"APP","APPLOVIN CORP CLASS A","IT","Azionario","23.704.523,92","0,73","23.704.523,92","53.669,00","441,68","Stati Uniti","NASDAQ","USD"
"ROG","ROCHE HOLDING PAR AG","Salute","Azionario","23.652.936,81","0,72","23.652.936,81","72.501,00","326,24","Svizzera","SIX Swiss Exchange","CHF"
"BKNG","BOOKING HOLDINGS INC","Consumi Discrezionali","Azionario","23.575.705,27","0,72","23.575.705,27","4.121,00","5.720,87","Stati Uniti","NASDAQ","USD"
"GS","GOLDMAN SACHS GROUP INC","Finanziari","Azionario","22.399.884,77","0,69","22.399.884,77","30.193,00","741,89","Stati Uniti","New York Stock Exchange Inc.","USD"
"TJX","TJX INC","Consumi Discrezionali","Azionario","22.305.447,48","0,68","22.305.447,48","163.362,00","136,54","Stati Uniti","New York Stock Exchange Inc.","USD"
"ENR","SIEMENS ENERGY N AG","Industriali","Azionario","21.506.425,06","0,66","21.506.425,06","197.560,00","108,86","Germania","Xetra","EUR"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Finanziari","Azionario","21.437.761,32","0,66","21.437.761,32","196.101,00","109,32","Stati Uniti","NASDAQ","USD"
"BATS","BRITISH AMERICAN TOBACCO","Generi di largo consumo","Azionario","20.640.251,08","0,63","20.640.251,08","353.682,00","58,36","Regno unito","London Stock Exchange","GBP"
"PGR","PROGRESSIVE CORP","Finanziari","Azionario","20.222.145,45","0,62","20.222.145,45","81.145,00","249,21","Stati Uniti","New York Stock Exchange Inc.","USD"
"RTX","RTX CORP","Industriali","Azionario","19.804.669,92","0,61","19.804.669,92","126.758,00","156,24","Stati Uniti","New York Stock Exchange Inc.","USD"
"RY","ROYAL BANK OF CANADA","Finanziari","Azionario","19.482.281,58","0,60","19.482.281,58","141.373,00","137,81","Canada","Toronto Stock Exchange","CAD"
"MSTR","STRATEGY INC CLASS A","IT","Azionario","19.291.388,71","0,59","19.291.388,71","53.867,00","358,13","Stati Uniti","NASDAQ","USD"
"ZURN","ZURICH INSURANCE GROUP AG","Finanziari","Azionario","18.600.469,09","0,57","18.600.469,09","25.142,00","739,82","Svizzera","SIX Swiss Exchange","CHF"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Finanziari","Azionario","18.195.464,32","0,56","18.195.464,32","27.978,00","650,35","Germania","Xetra","EUR"
"CME","CME GROUP INC CLASS A","Finanziari","Azionario","18.054.066,72","0,55","18.054.066,72","66.986,00","269,52","Stati Uniti","NASDAQ","USD"
"TMUS","T MOBILE US INC","Comunicazione","Azionario","17.979.907,85","0,55","17.979.907,85","71.363,00","251,95","Stati Uniti","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","Salute","Azionario","17.320.796,16","0,53","17.320.796,16","36.376,00","476,16","Stati Uniti","NASDAQ","USD"
"WELL","WELLTOWER INC","Immobili","Azionario","17.277.646,68","0,53","17.277.646,68","105.076,00","164,43","Stati Uniti","New York Stock Exchange Inc.","USD"
"ENB","ENBRIDGE INC","Energia","Azionario","17.221.587,60","0,53","17.221.587,60","359.192,00","47,95","Canada","Toronto Stock Exchange","CAD"
"MCK","MCKESSON CORP","Salute","Azionario","16.993.563,60","0,52","16.993.563,60","24.648,00","689,45","Stati Uniti","New York Stock Exchange Inc.","USD"
"UCG","UNICREDIT","Finanziari","Azionario","16.779.663,22","0,51","16.779.663,22","206.960,00","81,08","Italia","Borsa Italiana","EUR"
"NOW","SERVICENOW INC","IT","Azionario","16.717.011,00","0,51","16.717.011,00","18.852,00","886,75","Stati Uniti","New York Stock Exchange Inc.","USD"
"HWM","HOWMET AEROSPACE INC","Industriali","Azionario","16.715.250,00","0,51","16.715.250,00","97.750,00","171,00","Stati Uniti","New York Stock Exchange Inc.","USD"
"DB1","DEUTSCHE BOERSE AG","Finanziari","Azionario","16.204.736,66","0,50","16.204.736,66","53.830,00","301,03","Germania","Xetra","EUR"
"SPGI","S&P GLOBAL INC","Finanziari","Azionario","15.349.342,84","0,47","15.349.342,84","27.574,00","556,66","Stati Uniti","New York Stock Exchange Inc.","USD"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Finanziari","Azionario","15.331.537,04","0,47","15.331.537,04","795.123,00","19,28","Spagna","Bolsa De Madrid","EUR"
"7011","MITSUBISHI HEAVY INDUSTRIES LTD","Industriali","Azionario","15.286.081,51","0,47","15.286.081,51","587.500,00","26,02","Giappone","Tokyo Stock Exchange","JPY"
"APH","AMPHENOL CORP CLASS A","IT","Azionario","15.125.253,52","0,46","15.125.253,52","138.307,00","109,36","Stati Uniti","New York Stock Exchange Inc.","USD"
"MO","ALTRIA GROUP INC","Generi di largo consumo","Azionario","15.063.545,01","0,46","15.063.545,01","222.603,00","67,67","Stati Uniti","New York Stock Exchange Inc.","USD"
"AEM","AGNICO EAGLE MINES LTD","Materiali","Azionario","15.058.790,11","0,46","15.058.790,11","109.746,00","137,21","Canada","Toronto Stock Exchange","CAD"
"MS","MORGAN STANLEY","Finanziari","Azionario","14.996.350,26","0,46","14.996.350,26","101.313,00","148,02","Stati Uniti","New York Stock Exchange Inc.","USD"
