Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
FMG,FORTESCUE LTD,Materiali,Azionario,"63.525.109,12",2.05,"63.525.109,12","5.879.209,00","10,81",Australia,Asx - All Markets,AUD
AKRBP,AKER BP,Energia,Azionario,"61.155.354,01",1.97,"61.155.354,01","2.838.461,00","21,55",Norvegia,Oslo Bors Asa,NOK
YAL,YANCOAL AUSTRALIA LTD,Energia,Azionario,"61.065.907,02",1.97,"61.065.907,02","20.295.842,00","3,01",Australia,Asx - All Markets,AUD
868,XINYI GLASS HOLDINGS LTD,Industriali,Azionario,"60.845.656,54",1.96,"60.845.656,54","65.466.000,00","0,93",Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
12,HENDERSON LAND DEVELOPMENT LTD,Immobili,Azionario,"59.856.367,40",1.93,"59.856.367,40","20.164.000,00","2,97",Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
1308,SITC INTERNATIONAL HOLDINGS LTD,Industriali,Azionario,"58.049.078,30",1.87,"58.049.078,30","17.530.000,00","3,31",Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
WDS,WOODSIDE ENERGY GROUP LTD,Energia,Azionario,"56.944.318,88",1.83,"56.944.318,88","3.862.012,00","14,74",Australia,Asx - All Markets,AUD
LGEN,LEGAL AND GENERAL GROUP PLC,Finanziari,Azionario,"55.838.626,83",1.8,"55.838.626,83","18.861.648,00","2,96",Regno unito,London Stock Exchange,GBP
ABN,ABN AMRO BANK NV,Finanziari,Azionario,"55.063.130,85",1.77,"55.063.130,85","2.128.455,00","25,87",Paesi Bassi,Euronext Amsterdam,EUR
NN,NN GROUP NV,Finanziari,Azionario,"47.903.482,20",1.54,"47.903.482,20","781.970,00","61,26",Paesi Bassi,Euronext Amsterdam,EUR
MAERSK A,A P MOLLER MAERSK,Industriali,Azionario,"47.720.285,75",1.54,"47.720.285,75","25.907,00","1.841,98",Danimarca,Omx Nordic Exchange Copenhagen A/S,DKK
TW.,TAYLOR WIMPEY PLC,Consumi Discrezionali,Azionario,"46.981.832,08",1.51,"46.981.832,08","40.423.392,00","1,16",Regno unito,London Stock Exchange,GBP
BEN,BENDIGO AND ADELAIDE BANK LTD,Finanziari,Azionario,"46.497.457,74",1.5,"46.497.457,74","6.459.935,00","7,20",Australia,Asx - All Markets,AUD
PKN,ORLEN SA,Energia,Azionario,"42.330.669,80",1.36,"42.330.669,80","2.159.429,00","19,60",Polonia,Warsaw Stock Exchange/Equities/Main Market,PLN
LIGHT,SIGNIFY NV,Industriali,Azionario,"42.035.096,34",1.35,"42.035.096,34","1.810.297,00","23,22",Paesi Bassi,Euronext Amsterdam,EUR
RUI,RUBIS,Imprese di servizi di pubblica utilità,Azionario,"41.196.965,96",1.33,"41.196.965,96","1.411.822,00","29,18",Francia,Nyse Euronext - Euronext Paris,EUR
PST,POSTE ITALIANE,Finanziari,Azionario,"41.114.355,17",1.32,"41.114.355,17","2.022.349,00","20,33",Italia,Borsa Italiana,EUR
ASRNL,ASR NEDERLAND NV,Finanziari,Azionario,"40.626.457,64",1.31,"40.626.457,64","642.214,00","63,26",Paesi Bassi,Euronext Amsterdam,EUR
F,FORD MOTOR CO,Consumi Discrezionali,Azionario,"40.221.011,57",1.3,"40.221.011,57","4.014.564,00","10,02",Stati Uniti,New York Stock Exchange Inc.,USD
RIO,RIO TINTO PLC,Materiali,Azionario,"40.198.788,88",1.3,"40.198.788,88","756.995,00","53,10",Regno unito,London Stock Exchange,GBP
288,WH GROUP LTD,Generi di largo consumo,Azionario,"40.171.001,57",1.29,"40.171.001,57","44.422.000,00","0,90",Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
HSBA,HSBC HOLDINGS PLC,Finanziari,Azionario,"39.504.227,27",1.27,"39.504.227,27","3.538.463,00","11,16",Regno unito,London Stock Exchange,GBP
INGA,ING GROEP NV,Finanziari,Azionario,"39.239.694,52",1.26,"39.239.694,52","1.840.511,00","21,32",Paesi Bassi,Euronext Amsterdam,EUR
VOW3,VOLKSWAGEN NON-VOTING PREF AG,Consumi Discrezionali,Azionario,"39.048.499,20",1.26,"39.048.499,20","381.333,00","102,40",Germania,Xetra,EUR
BMW3,BMW PREF AG,Consumi Discrezionali,Azionario,"38.994.837,60",1.26,"38.994.837,60","467.564,00","83,40",Germania,Xetra,EUR
11,HANG SENG BANK LTD,Finanziari,Azionario,"38.935.800,65",1.25,"38.935.800,65","3.160.500,00","12,32",Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
ORA,ORANGE SA,Comunicazione,Azionario,"38.160.157,60",1.23,"38.160.157,60","2.635.370,00","14,48",Francia,Nyse Euronext - Euronext Paris,EUR
