Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
NVDA,NVIDIA CORP,Information Technology,Equity,"6,476,595,712.60",5.48,"6,476,595,712.60","36,924,719.00",175.40,United States,NASDAQ,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,"5,404,821,813.60",4.58,"5,404,821,813.60","10,687,380.00",505.72,United States,NASDAQ,USD
AAPL,APPLE INC,Information Technology,Equity,"5,137,908,609.03",4.35,"5,137,908,609.03","22,733,103.00",226.01,United States,NASDAQ,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"3,234,931,835.20",2.74,"3,234,931,835.20","14,453,920.00",223.81,United States,NASDAQ,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,"2,478,520,572.12",2.1,"2,478,520,572.12","3,314,771.00",747.72,United States,NASDAQ,USD
AVGO,BROADCOM INC,Information Technology,Equity,"1,968,264,068.65",1.67,"1,968,264,068.65","6,759,845.00",291.17,United States,NASDAQ,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"1,759,754,422.80",1.49,"1,759,754,422.80","8,828,790.00",199.32,United States,NASDAQ,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,"1,500,498,120.30",1.27,"1,500,498,120.30","7,495,370.00",200.19,United States,NASDAQ,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,"1,418,979,988.00",1.2,"1,418,979,988.00","4,380,920.00",323.90,United States,NASDAQ,USD
JPM,JPMORGAN CHASE & CO,Financials,Equity,"1,240,047,964.48",1.05,"1,240,047,964.48","4,243,252.00",292.24,United States,New York Stock Exchange Inc.,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"990,915,983.20",0.84,"990,915,983.20","2,027,740.00",488.68,United States,New York Stock Exchange Inc.,USD
V,VISA INC CLASS A,Financials,Equity,"897,131,774.96",0.76,"897,131,774.96","2,608,472.00",343.93,United States,New York Stock Exchange Inc.,USD
LLY,ELI LILLY,Health Care,Equity,"856,997,435.04",0.73,"856,997,435.04","1,214,841.00",705.44,United States,New York Stock Exchange Inc.,USD
NFLX,NETFLIX INC,Communication,Equity,"785,777,704.68",0.67,"785,777,704.68","647,338.00","1,213.86",United States,NASDAQ,USD
MA,MASTERCARD INC CLASS A,Financials,Equity,"733,005,880.20",0.62,"733,005,880.20","1,236,765.00",592.68,United States,New York Stock Exchange Inc.,USD
XOM,EXXON MOBIL CORP,Energy,Equity,"710,424,790.52",0.6,"710,424,790.52","6,545,884.00",108.53,United States,New York Stock Exchange Inc.,USD
WMT,WALMART INC,Consumer Staples,Equity,"685,577,982.57",0.58,"685,577,982.57","6,684,001.00",102.57,United States,New York Stock Exchange Inc.,USD
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"667,711,531.49",0.57,"667,711,531.49","671,357.00",994.57,United States,NASDAQ,USD
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"648,515,688.56",0.55,"648,515,688.56","3,626,234.00",178.84,United States,New York Stock Exchange Inc.,USD
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"604,424,257.84",0.51,"604,424,257.84","1,504,516.00",401.74,United States,New York Stock Exchange Inc.,USD
ORCL,ORACLE CORP,Information Technology,Equity,"599,785,207.56",0.51,"599,785,207.56","2,551,626.00",235.06,United States,New York Stock Exchange Inc.,USD
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"567,056,135.88",0.48,"567,056,135.88","3,554,988.00",159.51,United States,New York Stock Exchange Inc.,USD
ABBV,ABBVIE INC,Health Care,Equity,"556,831,548.25",0.47,"556,831,548.25","2,662,355.00",209.15,United States,New York Stock Exchange Inc.,USD
BAC,BANK OF AMERICA CORP,Financials,Equity,"528,648,408.05",0.45,"528,648,408.05","10,933,783.00",48.35,United States,New York Stock Exchange Inc.,USD
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"505,774,279.35",0.43,"505,774,279.35","3,241,935.00",156.01,United States,NASDAQ,USD
CVX,CHEVRON CORP,Energy,Equity,"450,927,992.20",0.38,"450,927,992.20","2,943,010.00",153.22,United States,New York Stock Exchange Inc.,USD
ASML,ASML HOLDING NV,Information Technology,Equity,"443,885,014.79",0.38,"443,885,014.79","596,353.00",744.33,Netherlands,Euronext Amsterdam,EUR
KO,COCA-COLA,Consumer Staples,Equity,"437,023,424.60",0.37,"437,023,424.60","6,181,378.00",70.70,United States,New York Stock Exchange Inc.,USD
GE,GE AEROSPACE,Industrials,Equity,"435,471,401.08",0.37,"435,471,401.08","1,634,407.00",266.44,United States,New York Stock Exchange Inc.,USD
SAP,SAP,Information Technology,Equity,"430,829,623.63",0.36,"430,829,623.63","1,580,315.00",272.62,Germany,Xetra,EUR
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"415,597,129.92",0.35,"415,597,129.92","1,386,063.00",299.84,United States,New York Stock Exchange Inc.,USD
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"408,523,542.45",0.35,"408,523,542.45","2,363,457.00",172.85,United States,New York Stock Exchange Inc.,USD
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"405,524,534.80",0.34,"405,524,534.80","2,454,749.00",165.20,United States,NASDAQ,USD
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"401,734,955.76",0.34,"401,734,955.76","5,986,216.00",67.11,United States,NASDAQ,USD
WFC,WELLS FARGO,Financials,Equity,"385,602,125.52",0.33,"385,602,125.52","4,933,497.00",78.16,United States,New York Stock Exchange Inc.,USD
AZN,ASTRAZENECA PLC,Health Care,Equity,"379,325,876.41",0.32,"379,325,876.41","2,350,912.00",161.35,United Kingdom,London Stock Exchange,GBP
NESN,NESTLE SA,Consumer Staples,Equity,"377,110,238.40",0.32,"377,110,238.40","3,981,351.00",94.72,Switzerland,SIX Swiss Exchange,CHF
NOVN,NOVARTIS AG,Health Care,Equity,"367,417,836.01",0.31,"367,417,836.01","2,885,393.00",127.34,Switzerland,SIX Swiss Exchange,CHF
CRM,SALESFORCE INC,Information Technology,Equity,"356,058,391.05",0.3,"356,058,391.05","1,444,749.00",246.45,United States,New York Stock Exchange Inc.,USD
HSBA,HSBC HOLDINGS PLC,Financials,Equity,"352,575,484.50",0.3,"352,575,484.50","27,143,492.00",12.99,United Kingdom,London Stock Exchange,GBP
ABT,ABBOTT LABORATORIES,Health Care,Equity,"349,553,262.52",0.3,"349,553,262.52","2,639,333.00",132.44,United States,New York Stock Exchange Inc.,USD
ROG,ROCHE HOLDING PAR AG,Health Care,Equity,"346,451,565.84",0.29,"346,451,565.84","1,061,338.00",326.43,Switzerland,SIX Swiss Exchange,CHF
LIN,LINDE PLC,Materials,Equity,"343,211,199.00",0.29,"343,211,199.00","711,525.00",482.36,United States,NASDAQ,USD
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"337,587,153.75",0.29,"337,587,153.75","1,391,825.00",242.55,United States,New York Stock Exchange Inc.,USD
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"337,096,628.64",0.29,"337,096,628.64","467,748.00",720.68,United States,New York Stock Exchange Inc.,USD
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"336,860,617.56",0.29,"336,860,617.56","1,075,957.00",313.08,United States,New York Stock Exchange Inc.,USD
SHEL,SHELL PLC,Energy,Equity,"325,386,935.84",0.28,"325,386,935.84","9,058,904.00",35.92,United Kingdom,London Stock Exchange,GBP
MRK,MERCK & CO INC,Health Care,Equity,"325,309,182.42",0.28,"325,309,182.42","3,842,537.00",84.66,United States,New York Stock Exchange Inc.,USD
DIS,WALT DISNEY,Communication,Equity,"321,554,876.72",0.27,"321,554,876.72","2,747,393.00",117.04,United States,New York Stock Exchange Inc.,USD
T,AT&T INC,Communication,Equity,"319,378,597.92",0.27,"319,378,597.92","10,907,739.00",29.28,United States,New York Stock Exchange Inc.,USD
RTX,RTX CORP,Industrials,Equity,"315,365,683.22",0.27,"315,365,683.22","2,013,958.00",156.59,United States,New York Stock Exchange Inc.,USD
PEP,PEPSICO INC,Consumer Staples,Equity,"313,202,620.65",0.27,"313,202,620.65","2,077,905.00",150.73,United States,NASDAQ,USD
SIE,SIEMENS N AG,Industrials,Equity,"310,342,745.63",0.26,"310,342,745.63","1,139,579.00",272.33,Germany,Xetra,EUR
CAT,CATERPILLAR INC,Industrials,Equity,"304,267,003.11",0.26,"304,267,003.11","723,429.00",420.59,United States,New York Stock Exchange Inc.,USD
INTU,INTUIT INC,Information Technology,Equity,"297,553,345.95",0.25,"297,553,345.95","425,593.00",699.15,United States,NASDAQ,USD
RY,ROYAL BANK OF CANADA,Financials,Equity,"292,894,031.31",0.25,"292,894,031.31","2,143,842.00",136.62,Canada,Toronto Stock Exchange,CAD
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"288,095,435.76",0.24,"288,095,435.76","6,393,596.00",45.06,United States,New York Stock Exchange Inc.,USD
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"287,000,685.82",0.24,"287,000,685.82","580,022.00",494.81,United States,New York Stock Exchange Inc.,USD
7203,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,"286,131,730.61",0.24,"286,131,730.61","14,321,200.00",19.98,Japan,Tokyo Stock Exchange,JPY
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"282,169,472.96",0.24,"282,169,472.96","50,032.00","5,639.78",United States,NASDAQ,USD
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,Equity,"282,109,186.46",0.24,"282,109,186.46","2,544,692.00",110.86,Australia,Asx - All Markets,AUD
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"278,899,645.50",0.24,"278,899,645.50","1,389,150.00",200.77,United States,NASDAQ,USD
NOW,SERVICENOW INC,Information Technology,Equity,"277,290,618.75",0.23,"277,290,618.75","311,475.00",890.25,United States,New York Stock Exchange Inc.,USD
SPGI,S&P GLOBAL INC,Financials,Equity,"267,829,493.51",0.23,"267,829,493.51","480,817.00",557.03,United States,New York Stock Exchange Inc.,USD
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"267,262,940.49",0.23,"267,262,940.49","2,851,413.00",93.73,United States,New York Stock Exchange Inc.,USD
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,Equity,"267,238,158.04",0.23,"267,238,158.04","17,366,936.00",15.39,Japan,Tokyo Stock Exchange,JPY
C,CITIGROUP INC,Financials,Equity,"265,577,917.22",0.22,"265,577,917.22","2,850,466.00",93.17,United States,New York Stock Exchange Inc.,USD
AXP,AMERICAN EXPRESS,Financials,Equity,"264,643,899.60",0.22,"264,643,899.60","858,119.00",308.40,United States,New York Stock Exchange Inc.,USD
MS,MORGAN STANLEY,Financials,Equity,"263,847,257.64",0.22,"263,847,257.64","1,830,747.00",144.12,United States,New York Stock Exchange Inc.,USD
NOVO B,NOVO NORDISK CLASS B,Health Care,Equity,"261,604,983.80",0.22,"261,604,983.80","4,845,218.00",53.99,Denmark,Omx Nordic Exchange Copenhagen A/S,DKK
6758,SONY GROUP CORP,Consumer Discretionary,Equity,"260,580,421.22",0.22,"260,580,421.22","9,279,390.00",28.08,Japan,Tokyo Stock Exchange,JPY
