Unnamed: 0,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
1,ASML HOLDING NV,NL0010273215,Netherlands,EUR,Euronext Amsterdam,Equity,Baa2,Amsterdam Exchanges Index,Information Technology,0.0133917967
2,SAP SE,DE0007164600,Germany,EUR,XETRA,Equity,-,DAX Index,Information Technology,0.0127868209
3,ASTRAZENECA PLC,GB0009895292,United Kingdom,GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Health Care,0.0112512155
4,NESTLE SA REG,CH0038863350,Switzerland,CHF,Scoach Switzerland,Equity,Aa2,Swiss Market Index,Consumer Staples,0.0110670976
5,NOVARTIS AG,CH0012005267,Switzerland,CHF,Scoach Switzerland,Equity,Aa3,Swiss Market Index,Health Care,0.0108486542
6,HSBC HOLDINGS PLC,GB0005405286,United Kingdom,GBP,London Stock Exchange,Equity,Aa3,FTSE 100 Index,Financials,0.0103674532
7,ROCHE HOLDING AG,CH0012032048,Switzerland,CHF,Scoach Switzerland,Equity,A1,Swiss Market Index,Health Care,0.0102771391
8,SHELL PLC,GB00BP6MXD84,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Energy,0.0097744329
9,SIEMENS AG REG,DE0007236101,Germany,EUR,XETRA,Equity,Aa3,DAX Index,Industrials,0.0094594267
10,ROYAL BANK OF CANADA,CA7800871021,Canada,CAD,Toronto Stock Exchange,Equity,Aa3,S&P/TSX COMPOSITE Index,Financials,0.0087463367
11,TOYOTA MOTOR CORP,JP3633400001,Japan,JPY,Tokyo Stock Exchange,Equity,Aa3,TOPIX Index,Consumer Discretionary,0.0085187835
12,DEUTSCHE GLOBAL LIQUIDITY SERI,IE00BYQNZ507,Ireland,USD,-,Mutual Fund,-,-,unknown,0.0085087306
13,COMMONWEALTH BANK OF AUSTRAL,AU000000CBA7,Australia,AUD,Australian Stock Exchange,Equity,Aa2,ASX All Ordinaries Index,Financials,0.0084220597
14,NOVO NORDISK A/S B,DK0062498333,Denmark,DKK,Copenhagen Stock Exchange,Equity,-,-,Health Care,0.0082462808
15,MITSUBISHI UFJ FINANCIAL GROUP INC,JP3902900004,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Financials,0.0080249884
